Lieu;Annee;city_name;latitude;longitude;country;state
Tokyo;2021;Tokyo;35.6828387;139.7594549;JP;
Rio de Janeiro;2016;Rio de Janeiro;-22.9110137;-43.2093727;BR;Rio de Janeiro
Londres;2012;London;51.5073219;-0.1276474;GB;England
Pékin;2008;Beijing;39.906217;116.3912757;CN;Beijing
Athènes;2004;Athens;37.9839412;23.7283052;GR;Attica
Sydney;2000;Sydney;-33.8698439;151.2082848;AU;New South Wales
Atlanta;1996;Atlanta;33.7489924;-84.3902644;US;Georgia
Barcelone;1992;Barcelona;41.3828939;2.1774322;ES;Catalonia
Séoul;1988;Seoul;37.5666791;126.9782914;KR;
Los Angeles;1984;Los Angeles;34.0536909;-118.242766;US;California
Moscou;1980;Moscow;55.7504461;37.6174943;RU;Moscow
Montréal;1976;Montreal;45.5031824;-73.5698065;CA;Quebec
Munich;1972;Munich;48.1371079;11.5753822;DE;Bavaria
Mexico;1968;Mexico City;19.4326296;-99.1331785;MX;
Tokyo;1964;Tokyo;35.6828387;139.7594549;JP;
Rome;1960;Rome;41.8933203;12.4829321;IT;Lazio
Melbourne;1956;Melbourne;-37.8142176;144.9631608;AU;Victoria
Helsinki;1952;Helsinki;60.1674881;24.9427473;FI;
Londres;1948;London;51.5073219;-0.1276474;GB;England
Berlin;1936;Berlin;52.5170365;13.3888599;DE;
Los Angeles;1932;Los Angeles;34.0536909;-118.242766;US;California
Amsterdam;1928;Amsterdam;52.3727598;4.8936041;NL;North Holland
Paris;1924;Paris;48.8588897;2.3200410217200766;FR;Ile-de-France
Anvers;1920;Antwerp;51.2211097;4.3997081;BE;Antwerp
Stockholm;1912;Stockholm;59.3251172;18.0710935;SE;
Londres;1908;London;51.5073219;-0.1276474;GB;England
Athènes;1906;Athens;37.9839412;23.7283052;GR;Attica
Saint Louis;1904;Saint Louis;38.6319657;-90.2428756;US;Missouri
Paris;1900;Paris;48.8588897;2.3200410217200766;FR;Ile-de-France
Athènes;1896;Athens;37.9839412;23.7283052;GR;Attica
